lords,lordsLines,lordsColor,set,setLines,setColor,england,englandLines,englandColor,grace,graceLines,graceColor,give,giveLines,giveColor,charles,charlesLines,charlesColor,mine,mineLines,mineColor,talbot,talbotLines,talbotColor,love,loveLines,loveColor,fear,fearLines,fearColor,fight,fightLines,fightColor,orleans,orleansLines,orleansColor,death,deathLines,deathColor,god,godLines,godColor,away,awayLines,awayColor,peace,peaceLines,peaceColor,father,fatherLines,fatherColor,arms,armsLines,armsColor,burgundy,burgundyLines,burgundyColor,france,franceLines,franceColor,take,takeLines,takeColor,sword,swordLines,swordColor,lord,lordLines,lordColor,heart,heartLines,heartColor,dauphin,dauphinLines,dauphinColor,noble,nobleLines,nobleColor,life,lifeLines,lifeColor,never,neverLines,neverColor,somerset,somersetLines,somersetColor,honour,honourLines,honourColor,men,menLines,menColor,none,noneLines,noneColor,french,frenchLines,frenchColor,stay,stayLines,stayColor,york,yorkLines,yorkColor,blood,bloodLines,bloodColor,words,wordsLines,wordsColor,duke,dukeLines,dukeColor,day,dayLines,dayColor,man,manLines,manColor,fly,flyLines,flyColor,king,kingLines,kingColor,great,greatLines,greatColor,english,englishLines,englishColor,die,dieLines,dieColor,leave,leaveLines,leaveColor,henry,henryLines,henryColor,first,firstLines,firstColor,side,sideLines,sideColor,gloucester,gloucesterLines,gloucesterColor
TALBOT,3,31.0344827586,SOMERSET,2,186.206896552,YORK,2,117.931034483,SOMERSET,1,186.206896552,LUCY,2,24.8275862069,CARDINAL OF WINCHESTER,2,229.655172414,LUCY,1,24.8275862069,Soldier,1,235.862068966,EXETER,1,198.620689655,Mayor,1,347.586206897,GLOUCESTER,2,353.793103448, , , ,JOHN TALBOT,2,204.827586207,WARWICK,1,68.275862069,Captain,1,341.379310345,BISHOP OF WINCHESTER,2,254.482758621,Shepherd,2,105.517241379,LUCY,1,24.8275862069, , , ,BASTARD OF ORLEANS,1,173.793103448,Soldier,1,235.862068966,GLOUCESTER,1,353.793103448,Shepherd,1,105.517241379,YORK,1,117.931034483,Messenger,4,49.6551724138,VERNON,2,43.4482758621,FASTOLFE,1,86.8965517241,BISHOP OF WINCHESTER,2,254.482758621, , , ,SUFFOLK,3,310.344827586,Messenger,3,49.6551724138,GLOUCESTER,4,353.793103448,BISHOP OF WINCHESTER,1,254.482758621,GLOUCESTER,2,353.793103448, , , ,EXETER,1,198.620689655,YORK,1,117.931034483,WARWICK,2,68.275862069,SOMERSET,1,186.206896552,TALBOT,3,31.0344827586, , , ,Officer,1,242.068965517,YORK,1,117.931034483, , , , , , ,GLOUCESTER,1,353.793103448,REIGNIER,3,223.448275862,YORK,1,117.931034483, , , , , , 
VERNON,1,43.4482758621,Captain,1,341.379310345,BASTARD OF ORLEANS,1,173.793103448,FASTOLFE,1,86.8965517241,COUNTESS OF AUVERGNE,1,74.4827586207,GLOUCESTER,3,353.793103448,COUNTESS OF AUVERGNE,1,74.4827586207,Messenger,8,49.6551724138, , , ,GLOUCESTER,3,353.793103448, , , , , , ,LUCY,1,24.8275862069,BISHOP OF WINCHESTER,2,254.482758621,FASTOLFE,1,86.8965517241,CARDINAL OF WINCHESTER,2,229.655172414,SOMERSET,1,186.206896552,COUNTESS OF AUVERGNE,1,74.4827586207, , , ,YORK,4,117.931034483,VERNON,1,43.4482758621, , , ,First Gaoler,2,111.724137931,Shepherd,1,105.517241379,CARDINAL OF WINCHESTER,1,229.655172414,BASTARD OF ORLEANS,1,173.793103448,GLOUCESTER,4,353.793103448,EXETER,1,198.620689655, , , ,GLOUCESTER,1,353.793103448,Officer,1,242.068965517, , , ,CARDINAL OF WINCHESTER,1,229.655172414, , , , , , , , , ,Messenger,1,49.6551724138,WOODVILE,1,335.172413793,EXETER,1,198.620689655,MARGARET,1,37.2413793103, , , ,REIGNIER,2,223.448275862,COUNTESS OF AUVERGNE,2,74.4827586207, , , , , , , , , ,MARGARET,1,37.2413793103,Shepherd,1,105.517241379, , , , , , 
MORTIMER,1,304.137931034,GLOUCESTER,2,353.793103448,GLOUCESTER,3,353.793103448,Third Serving-man,1,260.689655172,SUFFOLK,3,310.344827586, , , ,General,1,80.6896551724,SALISBURY,1,322.75862069, , , , , , , , , , , , ,Officer,1,242.068965517,Mayor,1,347.586206897,Mayor,1,347.586206897,Mayor,1,347.586206897,SUFFOLK,3,310.344827586,GLOUCESTER,1,353.793103448, , , ,Messenger,4,49.6551724138,Messenger,1,49.6551724138, , , ,KING HENRY VI,20,291.724137931,COUNTESS OF AUVERGNE,1,74.4827586207,EXETER,2,198.620689655,YORK,4,117.931034483, , , , , , , , , , , , ,WARWICK,1,68.275862069, , , ,EXETER,1,198.620689655, , , , , , , , , ,SOMERSET,1,186.206896552,BISHOP OF WINCHESTER,1,254.482758621, , , ,General,1,80.6896551724, , , ,WARWICK,4,68.275862069,SUFFOLK,1,310.344827586, , , , , , , , , ,BISHOP OF WINCHESTER,1,254.482758621,CARDINAL OF WINCHESTER,1,229.655172414, , , , , , 
Messenger,4,49.6551724138, , , ,EXETER,1,198.620689655,GLOUCESTER,3,353.793103448,BISHOP OF WINCHESTER,2,254.482758621, , , ,GLOUCESTER,1,353.793103448,LUCY,10,24.8275862069, , , , , , , , , , , , ,WARWICK,1,68.275862069,GLOUCESTER,4,353.793103448,EXETER,1,198.620689655,GLOUCESTER,3,353.793103448,Third Serving-man,1,260.689655172, , , , , , ,COUNTESS OF AUVERGNE,1,74.4827586207,Sergeant,1,55.8620689655, , , ,GARGRAVE,2,130.344827586,EXETER,1,198.620689655, , , ,WOODVILE,1,335.172413793, , , , , , , , , , , , ,Mayor,1,347.586206897, , , , , , , , , , , , , , , ,GLOUCESTER,1,353.793103448,SUFFOLK,1,310.344827586, , , ,Messenger,1,49.6551724138, , , ,BISHOP OF WINCHESTER,6,254.482758621,SOMERSET,1,186.206896552, , , , , , , , , ,EXETER,6,198.620689655,GLOUCESTER,1,353.793103448, , , , , , 
CARDINAL OF WINCHESTER,1,229.655172414, , , , , , , , , ,GLOUCESTER,1,353.793103448, , , , , , ,BASTARD OF ORLEANS,2,173.793103448, , , , , , , , , , , , ,Shepherd,1,105.517241379, , , , , , , , , ,GLOUCESTER,1,353.793103448, , , , , , ,GLOUCESTER,3,353.793103448,Shepherd,1,105.517241379, , , ,CHARLES,5,142.75862069,GLOUCESTER,2,353.793103448, , , ,Mayor,1,347.586206897, , , , , , , , , , , , ,GLOUCESTER,2,353.793103448, , , , , , , , , , , , , , , , , , ,FASTOLFE,1,86.8965517241, , , ,YORK,2,117.931034483, , , ,GLOUCESTER,10,353.793103448,GLOUCESTER,2,353.793103448, , , , , , , , , ,CARDINAL OF WINCHESTER,1,229.655172414, , , , , , , , , 
Shepherd,1,105.517241379, , , , , , , , , , , , , , , , , , ,BISHOP OF WINCHESTER,1,254.482758621, , , , , , , , , , , , ,COUNTESS OF AUVERGNE,1,74.4827586207, , , , , , , , , , , , , , , , , , ,EXETER,1,198.620689655,SOMERSET,1,186.206896552, , , ,BURGUNDY,4,155.172413793, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Mayor,1,347.586206897, , , ,LUCY,1,24.8275862069, , , ,CARDINAL OF WINCHESTER,2,229.655172414, , , , , , , , , , , , ,Mayor,1,347.586206897, , , , , , , , , 
BISHOP OF WINCHESTER,2,254.482758621, , , , , , , , , , , , , , , , , , ,Captain,1,341.379310345, , , , , , , , , , , , ,EXETER,1,198.620689655, , , , , , , , , , , , , , , , , , , , , ,GLOUCESTER,4,353.793103448, , , ,Servant,1,161.379310345, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,COUNTESS OF AUVERGNE,2,74.4827586207, , , ,SOMERSET,1,186.206896552, , , , , , , , , , , , ,GLOUCESTER,4,353.793103448, , , , , , , , , 
GLOUCESTER,1,353.793103448, , , , , , , , , , , , , , , , , , ,COUNTESS OF AUVERGNE,2,74.4827586207, , , , , , , , , , , , ,GLOUCESTER,1,353.793103448, , , , , , , , , , , , , , , , , , , , , , , , , , , ,SOMERSET,4,186.206896552, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXETER,1,198.620689655, , , ,EXETER,2,198.620689655, , , , , , , , , , , , , , , , , , , , , , , , 
Mayor,2,347.586206897, , , , , , , , , , , , , , , , , , ,YORK,3,117.931034483, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXETER,3,198.620689655, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SOMERSET,1,186.206896552, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
First Soldier,1,12.4137931034, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,First Soldier,1,12.4137931034, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,GLOUCESTER,3,353.793103448, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
EXETER,2,198.620689655, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Serving-Men,1,217.24137931, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,REIGNIER,6,223.448275862, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CARDINAL OF WINCHESTER,3,229.655172414, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,BISHOP OF WINCHESTER,2,254.482758621, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Third Serving-man,1,260.689655172, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
