heart,heartLines,heartColor,thomas,thomasLines,thomasColor,lords,lordsLines,lordsColor,love,loveLines,loveColor,fair,fairLines,fairColor,give,giveLines,giveColor,queen,queenLines,queenColor,mine,mineLines,mineColor,woman,womanLines,womanColor,fear,fearLines,fearColor,find,findLines,findColor,speak,speakLines,speakColor,conscience,conscienceLines,conscienceColor,yes,yesLines,yesColor,little,littleLines,littleColor,pray,prayLines,prayColor,god,godLines,godColor,peace,peaceLines,peaceColor,please,pleaseLines,pleaseColor,long,longLines,longColor,grace,graceLines,graceColor,state,stateLines,stateColor,cardinal,cardinalLines,cardinalColor,take,takeLines,takeColor,lord,lordLines,lordColor,cause,causeLines,causeColor,tell,tellLines,tellColor,sent,sentLines,sentColor,poor,poorLines,poorColor,noble,nobleLines,nobleColor,life,lifeLines,lifeColor,never,neverLines,neverColor,business,businessLines,businessColor,far,farLines,farColor,honour,honourLines,honourColor,men,menLines,menColor,hear,hearLines,hearColor,duke,dukeLines,dukeColor,day,dayLines,dayColor,dare,dareLines,dareColor,man,manLines,manColor,king,kingLines,kingColor,great,greatLines,greatColor,heaven,heavenLines,heavenColor,highness,highnessLines,highnessColor,lady,ladyLines,ladyColor,leave,leaveLines,leaveColor,place,placeLines,placeColor,truth,truthLines,truthColor,time,timeLines,timeColor
Chamberlain,2,53.6170212766, , , ,QUEEN KATHARINE,8,76.5957446809,KATHARINE,3,329.361702128, , , ,Second Gentleman,1,337.021276596,CARDINAL WOLSEY,1,222.127659574,CRANMER,3,114.893617021, , , ,Second Gentleman,1,337.021276596,CARDINAL CAMPEIUS,1,145.531914894,QUEEN KATHARINE,8,76.5957446809,Man,1,153.191489362,QUEEN KATHARINE,1,76.5957446809,KATHARINE,2,329.361702128,KATHARINE,2,329.361702128,Man,1,153.191489362, , , ,QUEEN KATHARINE,2,76.5957446809,QUEEN KATHARINE,3,76.5957446809,CROMWELL,3,137.872340426,Chamberlain,1,53.6170212766,CARDINAL WOLSEY,1,222.127659574,QUEEN KATHARINE,5,76.5957446809,ANNE,3,130.212765957, , , ,Chamberlain,1,53.6170212766,Chamberlain,2,53.6170212766, , , ,CAPUCIUS,1,314.042553191,KATHARINE,1,329.361702128,KATHARINE,2,329.361702128,Chamberlain,1,53.6170212766,CARDINAL WOLSEY,5,222.127659574,KATHARINE,2,329.361702128,SANDS,1,306.382978723,Second Gentleman,2,337.021276596,Sergeant,1,45.9574468085,Second Gentleman,2,337.021276596,Chamberlain,1,53.6170212766,CARDINAL WOLSEY,13,222.127659574,CRANMER,3,114.893617021,NORFOLK,3,183.829787234,CAPUCIUS,1,314.042553191,ANNE,2,130.212765957,ANNE,2,130.212765957,QUEEN KATHARINE,2,76.5957446809,Chamberlain,1,53.6170212766, , , ,CARDINAL WOLSEY,3,222.127659574
CRANMER,3,114.893617021, , , ,Chamberlain,2,53.6170212766,QUEEN KATHARINE,5,76.5957446809, , , ,KATHARINE,2,329.361702128,QUEEN KATHARINE,1,76.5957446809, , , , , , ,CROMWELL,1,137.872340426,Chamberlain,4,53.6170212766,KATHARINE,1,329.361702128,Chamberlain,1,53.6170212766,CROMWELL,1,137.872340426,QUEEN KATHARINE,3,76.5957446809,Second Gentleman,3,337.021276596,Chamberlain,1,53.6170212766, , , ,NORFOLK,1,183.829787234,ANNE,2,130.212765957,CARDINAL CAMPEIUS,4,145.531914894,Man,1,153.191489362,Second Gentleman,4,337.021276596,CARDINAL WOLSEY,5,222.127659574,CROMWELL,6,137.872340426, , , , , , , , , , , , ,CARDINAL WOLSEY,10,222.127659574,QUEEN KATHARINE,3,76.5957446809,QUEEN KATHARINE,2,76.5957446809, , , ,CARDINAL CAMPEIUS,1,145.531914894,QUEEN KATHARINE,6,76.5957446809,CRANMER,2,114.893617021,GRIFFITH,1,237.446808511,Second Gentleman,5,337.021276596,CROMWELL,1,137.872340426, , , ,SUFFOLK,1,283.404255319,CROMWELL,3,137.872340426,CRANMER,3,114.893617021,QUEEN KATHARINE,6,76.5957446809,DOCTOR BUTTS,1,252.765957447,CROMWELL,1,137.872340426,ANNE,2,130.212765957,Porter,1,61.2765957447, , , ,KATHARINE,2,329.361702128
 , , , , , , , , ,CARDINAL CAMPEIUS,2,145.531914894, , , ,QUEEN KATHARINE,4,76.5957446809,KATHARINE,1,329.361702128, , , , , , ,CARDINAL CAMPEIUS,1,145.531914894, , , ,Second Gentleman,2,337.021276596,Porter,1,61.2765957447,GRIFFITH,1,237.446808511,CROMWELL,1,137.872340426,ANNE,3,130.212765957,GRIFFITH,1,237.446808511, , , ,Porter,1,61.2765957447,CROMWELL,1,137.872340426,SURREY,2,160.85106383, , , ,KATHARINE,1,329.361702128,CARDINAL CAMPEIUS,1,145.531914894,CARDINAL CAMPEIUS,4,145.531914894, , , , , , , , , , , , ,Second Gentleman,1,337.021276596,ANNE,1,130.212765957,ANNE,1,130.212765957, , , ,Chamberlain,2,53.6170212766,CROMWELL,1,137.872340426,QUEEN KATHARINE,5,76.5957446809,Man,1,153.191489362,CARDINAL WOLSEY,3,222.127659574,Chamberlain,2,53.6170212766, , , ,CARDINAL CAMPEIUS,4,145.531914894,CARDINAL CAMPEIUS,2,145.531914894,CARDINAL WOLSEY,2,222.127659574,KATHARINE,3,329.361702128,CARDINAL CAMPEIUS,1,145.531914894,Chamberlain,4,53.6170212766,CROMWELL,2,137.872340426, , , , , , ,QUEEN KATHARINE,3,76.5957446809
 , , , , , , , , , , , , , , ,ANNE,1,130.212765957,Second Gentleman,3,337.021276596, , , , , , ,Chamberlain,2,53.6170212766, , , ,ANNE,1,130.212765957,CRANMER,2,114.893617021, , , ,Chamberlain,1,53.6170212766,Chamberlain,2,53.6170212766,Old Lady,1,214.468085106, , , ,SUFFOLK,1,283.404255319,Chamberlain,1,53.6170212766,NORFOLK,3,183.829787234, , , ,QUEEN KATHARINE,6,76.5957446809,Chamberlain,2,53.6170212766,SURREY,5,160.85106383, , , , , , , , , , , , ,KATHARINE,3,329.361702128,CROMWELL,1,137.872340426,Chamberlain,2,53.6170212766, , , ,Man,1,153.191489362,CARDINAL CAMPEIUS,1,145.531914894,KATHARINE,2,329.361702128, , , , , , ,Porter,1,61.2765957447, , , ,Chamberlain,3,53.6170212766,SURREY,6,160.85106383,Third Gentleman,1,91.914893617,CARDINAL WOLSEY,7,222.127659574,GRIFFITH,1,237.446808511,CAPUCIUS,1,314.042553191,CARDINAL CAMPEIUS,1,145.531914894, , , , , , ,Chamberlain,2,53.6170212766
 , , , , , , , , , , , , , , ,Chamberlain,1,53.6170212766,ANNE,3,130.212765957, , , , , , ,GRIFFITH,1,237.446808511, , , ,CROMWELL,1,137.872340426, , , , , , ,CRANMER,3,114.893617021,GRIFFITH,1,237.446808511, , , , , , ,CARDINAL CAMPEIUS,2,145.531914894, , , ,GARDINER,2,199.14893617, , , ,CARDINAL CAMPEIUS,2,145.531914894,Porter,1,61.2765957447,NORFOLK,10,183.829787234, , , , , , , , , , , , ,QUEEN KATHARINE,2,76.5957446809,CRANMER,1,114.893617021,Man,1,153.191489362, , , , , , ,Chamberlain,2,53.6170212766,CARDINAL WOLSEY,3,222.127659574, , , , , , , , , , , , ,CRANMER,3,114.893617021,NORFOLK,14,183.829787234,KATHARINE,1,329.361702128,ANNE,1,130.212765957, , , , , , ,Chamberlain,2,53.6170212766, , , , , , ,Man,2,153.191489362
 , , , , , , , , , , , , , , , , , ,CROMWELL,1,137.872340426, , , , , , , , , , , , ,Chamberlain,4,53.6170212766, , , , , , , , , ,Man,1,153.191489362, , , , , , ,Chamberlain,2,53.6170212766, , , ,PATIENCE,1,206.808510638, , , ,Chamberlain,1,53.6170212766,CRANMER,1,114.893617021,GARDINER,4,199.14893617, , , , , , , , , , , , ,GUILDFORD,1,344.680851064, , , , , , , , , , , , ,Porter,1,61.2765957447,CROMWELL,2,137.872340426, , , , , , , , , , , , , , , ,GARDINER,1,199.14893617,Second Gentleman,2,337.021276596,Garter,1,268.085106383, , , , , , ,Porter,2,61.2765957447, , , , , , , , , 
 , , , , , , , , , , , , , , , , , ,Scribe,1,352.340425532, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,GRIFFITH,1,237.446808511, , , ,QUEEN KATHARINE,4,76.5957446809, , , ,GRIFFITH,1,237.446808511, , , ,CARDINAL WOLSEY,11,222.127659574, , , , , , , , , , , , ,CARDINAL CAMPEIUS,3,145.531914894, , , , , , , , , , , , ,Man,1,153.191489362,Chamberlain,1,53.6170212766, , , , , , , , , , , , , , , ,QUEEN KATHARINE,6,76.5957446809,Chamberlain,5,53.6170212766,Chamberlain,2,53.6170212766, , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,GRIFFITH,2,237.446808511, , , , , , , , , ,DENNY,2,84.2553191489, , , , , , , , , , , , ,Chamberlain,2,53.6170212766, , , , , , , , , , , , , , , ,Porter,1,61.2765957447, , , , , , , , , , , , , , , ,LOVELL,3,275.744680851,Porter,1,61.2765957447,Old Lady,1,214.468085106, , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,DOCTOR BUTTS,2,252.765957447, , , , , , , , , ,LOVELL,4,275.744680851, , , , , , , , , , , , ,CRANMER,2,114.893617021, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SUFFOLK,13,283.404255319,Man,1,153.191489362, , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,LOVELL,2,275.744680851, , , , , , , , , ,SUFFOLK,5,283.404255319, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Crier,1,291.063829787, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SANDS,2,306.382978723, , , , , , , , , ,Surveyor,2,298.723404255, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Surveyor,4,298.723404255, , , , , , , , , , , , , , , , , , , , , , , , 
