heart,heartLines,heartColor,england,englandLines,englandColor,majesty,majestyLines,majestyColor,lords,lordsLines,lordsColor,queen,queenLines,queenColor,crown,crownLines,crownColor,mine,mineLines,mineColor,dead,deadLines,deadColor,suffolk,suffolkLines,suffolkColor,traitor,traitorLines,traitorColor,cade,cadeLines,cadeColor,fear,fearLines,fearColor,speak,speakLines,speakColor,death,deathLines,deathColor,god,godLines,godColor,away,awayLines,awayColor,give,giveLines,giveColor,father,fatherLines,fatherColor,sovereign,sovereignLines,sovereignColor,long,longLines,longColor,france,franceLines,franceColor,live,liveLines,liveColor,master,masterLines,masterColor,take,takeLines,takeColor,sword,swordLines,swordColor,warwick,warwickLines,warwickColor,lord,lordLines,lordColor,somerset,somersetLines,somersetColor,tell,tellLines,tellColor,day,dayLines,dayColor,life,lifeLines,lifeColor,men,menLines,menColor,never,neverLines,neverColor,bear,bearLines,bearColor,hand,handLines,handColor,buckingham,buckinghamLines,buckinghamColor,york,yorkLines,yorkColor,words,wordsLines,wordsColor,duke,dukeLines,dukeColor,grace,graceLines,graceColor,man,manLines,manColor,king,kingLines,kingColor,great,greatLines,greatColor,die,dieLines,dieColor,leave,leaveLines,leaveColor,henry,henryLines,henryColor,humphrey,humphreyLines,humphreyColor,protector,protectorLines,protectorColor,head,headLines,headColor,gloucester,gloucesterLines,gloucesterColor
WARWICK,3,63.5294117647,CARDINAL,2,322.941176471,BUCKINGHAM,1,42.3529411765, , , ,GLOUCESTER,1,344.117647059,Master,1,153.529411765,CADE,2,58.2352941176,GLOUCESTER,1,344.117647059,CARDINAL,3,322.941176471,YORK,6,238.235294118,CLIFFORD,1,264.705882353,CARDINAL,2,322.941176471,YORK,1,238.235294118,SAY,1,137.647058824,SIMPCOX,3,333.529411765,CARDINAL,1,322.941176471,CADE,2,58.2352941176,CADE,3,58.2352941176, , , ,GLOUCESTER,5,344.117647059,SOMERSET,1,169.411764706,CARDINAL,2,322.941176471,SIMPCOX,10,333.529411765,BUCKINGHAM,2,42.3529411765,Captain,1,275.294117647, , , ,First Murderer,3,116.470588235, , , ,GLOUCESTER,1,344.117647059,YORK,5,238.235294118,SALISBURY,1,328.235294118,Captain,1,275.294117647,SAY,2,137.647058824,SALISBURY,1,328.235294118,YORK,6,238.235294118, , , ,SALISBURY,1,328.235294118,CADE,1,58.2352941176,STANLEY,1,164.117647059,HUME,3,185.294117647,Third Neighbour,1,148.235294118,HORNER,1,158.823529412,YORK,3,238.235294118,PETER,1,174.705882353, , , ,Spirit,1,180.0,CARDINAL,2,322.941176471,CARDINAL,5,322.941176471,YORK,5,238.235294118, , , 
CADE,1,58.2352941176,YORK,12,238.235294118,SALISBURY,1,328.235294118, , , , , , ,SOMERSET,1,169.411764706,First Petitioner,1,338.823529412, , , ,SALISBURY,3,328.235294118, , , ,BUCKINGHAM,1,42.3529411765,YORK,2,238.235294118,WARWICK,2,63.5294117647,CARDINAL,2,322.941176471,SAY,2,137.647058824,YORK,6,238.235294118,Captain,1,275.294117647,WARWICK,6,63.5294117647, , , , , , ,GLOUCESTER,9,344.117647059,YORK,2,238.235294118,First Petitioner,1,338.823529412,CARDINAL,2,322.941176471,CADE,6,58.2352941176, , , ,HORNER,1,158.823529412, , , ,HUME,1,185.294117647,WARWICK,3,63.5294117647,Townsman,1,354.705882353,CADE,7,58.2352941176,DICK,1,5.29411764706,WARWICK,2,63.5294117647,WARWICK,2,63.5294117647, , , ,WARWICK,6,63.5294117647,WARWICK,1,63.5294117647,PETER,1,174.705882353,Servant,1,206.470588235,Second Petitioner,1,232.941176471,SOMERSET,1,169.411764706,CADE,1,58.2352941176,Spirit,2,180.0, , , ,GLOUCESTER,10,344.117647059,SALISBURY,3,328.235294118,SOMERSET,1,169.411764706,WHITMORE,1,95.2941176471, , , 
Messenger,1,52.9411764706,CADE,3,58.2352941176,YORK,3,238.235294118, , , , , , ,PETER,1,174.705882353,PETER,1,174.705882353, , , ,WARWICK,2,63.5294117647, , , ,WILLIAM STAFFORD,1,259.411764706,WHITMORE,1,95.2941176471,CADE,6,58.2352941176,SALISBURY,6,328.235294118,SALISBURY,1,328.235294118,WARWICK,1,63.5294117647,HUME,2,185.294117647,CLIFFORD,1,264.705882353, , , , , , ,YORK,11,238.235294118,WARWICK,2,63.5294117647,PETER,2,174.705882353,YORK,6,238.235294118, , , , , , ,Post,2,254.117647059, , , , , , ,HORNER,1,158.823529412,WARWICK,3,63.5294117647, , , ,SALISBURY,1,328.235294118,CADE,1,58.2352941176,GLOUCESTER,1,344.117647059, , , ,HORNER,1,158.823529412,HORNER,1,158.823529412,Spirit,1,180.0,Herald,1,222.352941176,YORK,4,238.235294118,PETER,1,174.705882353,Post,2,254.117647059,WILLIAM STAFFORD,1,259.411764706, , , , , , ,QUEEN MARGARET,4,291.176470588,GLOUCESTER,3,344.117647059,CADE,7,58.2352941176, , , 
PETER,1,174.705882353,Captain,1,275.294117647,HORNER,2,158.823529412, , , , , , ,GLOUCESTER,2,344.117647059,BUCKINGHAM,1,42.3529411765, , , ,HUME,2,185.294117647, , , ,CADE,2,58.2352941176,First Neighbour,1,227.647058824,PETER,1,174.705882353,WARWICK,4,63.5294117647,CARDINAL,1,322.941176471,HORNER,1,158.823529412,GLOUCESTER,3,344.117647059,GLOUCESTER,1,344.117647059, , , , , , , , , ,CADE,2,58.2352941176,HUME,1,185.294117647,HORNER,1,158.823529412, , , , , , ,PETER,6,174.705882353, , , , , , ,Captain,1,275.294117647,SIMPCOX,2,333.529411765, , , ,WARWICK,1,63.5294117647,Captain,1,275.294117647, , , , , , ,Messenger,1,52.9411764706,GLOUCESTER,1,344.117647059,HUME,1,185.294117647,YORK,2,238.235294118,CLIFFORD,1,264.705882353,SCALES,1,190.588235294,GLOUCESTER,1,344.117647059,GLOUCESTER,2,344.117647059, , , , , , ,STANLEY,1,164.117647059, , , ,Captain,1,275.294117647, , , 
YOUNG CLIFFORD,3,68.8235294118,GLOUCESTER,6,344.117647059,SOMERSET,1,169.411764706, , , , , , , , , ,YOUNG CLIFFORD,2,68.8235294118, , , ,GLOUCESTER,7,344.117647059, , , , , , ,GLOUCESTER,2,344.117647059,YOUNG CLIFFORD,1,68.8235294118,HORNER,1,158.823529412,YORK,1,238.235294118,Captain,2,275.294117647, , , , , , , , , , , , , , , ,Captain,2,275.294117647, , , ,Captain,1,275.294117647, , , , , , ,First Citizen,2,195.882352941, , , , , , ,YOUNG CLIFFORD,2,68.8235294118,CLIFFORD,1,264.705882353, , , ,HORNER,2,158.823529412,GLOUCESTER,1,344.117647059, , , , , , ,SOMERSET,3,169.411764706,WILLIAM STAFFORD,1,259.411764706,VAUX,1,132.352941176,QUEEN MARGARET,2,291.176470588,QUEEN MARGARET,2,291.176470588,VAUX,1,132.352941176,HUME,1,185.294117647, , , , , , , , , ,SOMERSET,1,169.411764706, , , ,GLOUCESTER,4,344.117647059, , , 
GLOUCESTER,6,344.117647059, , , ,GLOUCESTER,1,344.117647059, , , , , , , , , ,GLOUCESTER,9,344.117647059, , , , , , , , , , , , ,Third Neighbour,1,148.235294118,GLOUCESTER,2,344.117647059,Messenger,2,52.9411764706,WARWICK,1,63.5294117647,YOUNG CLIFFORD,2,68.8235294118, , , , , , , , , , , , , , , ,Spirit,1,180.0, , , ,GLOUCESTER,2,344.117647059, , , , , , ,First Murder,1,105.882352941, , , , , , ,GLOUCESTER,5,344.117647059,GLOUCESTER,2,344.117647059, , , ,Captain,2,275.294117647, , , , , , , , , ,PETER,2,174.705882353,HUME,1,185.294117647,Second Petitioner,1,232.941176471,SUFFOLK,4,307.058823529,DICK,1,5.29411764706,MICHAEL,1,211.764705882, , , , , , , , , , , , ,GLOUCESTER,3,344.117647059, , , , , , , , , 
 , , , , , ,HUME,1,185.294117647, , , , , , , , , , , , , , , , , , , , , , , , ,YOUNG CLIFFORD,1,68.8235294118, , , ,SOMERSET,1,169.411764706,HORNER,1,158.823529412,GLOUCESTER,6,344.117647059, , , , , , , , , , , , , , , ,GLOUCESTER,2,344.117647059, , , ,Spirit,1,180.0, , , , , , ,Commons,1,217.058823529, , , , , , , , , , , , , , , ,SOMERSET,1,169.411764706, , , , , , , , , ,WILLIAM STAFFORD,1,259.411764706, , , ,YORK,16,238.235294118,CARDINAL,1,322.941176471,SUFFOLK,6,307.058823529,YORK,19,238.235294118, , , , , , , , , , , , ,YORK,5,238.235294118, , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,HUME,2,185.294117647, , , ,GLOUCESTER,1,344.117647059,PETER,3,174.705882353, , , , , , , , , , , , , , , , , , , , , , , , ,HUME,1,185.294117647, , , , , , ,Second Petitioner,2,232.941176471, , , , , , , , , , , , , , , ,GLOUCESTER,5,344.117647059, , , , , , , , , ,GLOUCESTER,4,344.117647059, , , ,WILLIAM STAFFORD,1,259.411764706,SALISBURY,1,328.235294118,CARDINAL,2,322.941176471,WILLIAM STAFFORD,1,259.411764706, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Spirit,1,180.0,CLERK,1,37.0588235294, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,YORK,17,238.235294118, , , , , , , , , , , , , , , ,YORK,5,238.235294118, , , , , , , , , , , , , , , ,CLIFFORD,1,264.705882353,SIMPCOX,2,333.529411765,SALISBURY,3,328.235294118,CLIFFORD,3,264.705882353, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,YORK,7,238.235294118,HUME,1,185.294117647, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Servants,1,243.529411765, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,QUEEN MARGARET,12,291.176470588,First Petitioner,1,338.823529412,First Petitioner,1,338.823529412,ALL,3,270.0, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SOMERSET,1,169.411764706, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SUFFOLK,10,307.058823529,Mayor,1,349.411764706,GLOUCESTER,1,344.117647059,SIR HUMPHREY,2,285.882352941, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CLIFFORD,2,264.705882353, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CARDINAL,6,322.941176471,GLOUCESTER,1,344.117647059,Townsman,2,354.705882353,QUEEN MARGARET,14,291.176470588, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,QUEEN MARGARET,16,291.176470588, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SALISBURY,5,328.235294118, , , , , , ,DICK,1,5.29411764706, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Beadle,1,301.764705882, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Captain,1,275.294117647, , , , , , ,SUFFOLK,12,307.058823529, , , , , , , , , , , , , , , , , , , , , , , , 
