heart,heartLines,heartColor,england,englandLines,englandColor,eat,eatLines,eatColor,majesty,majestyLines,majestyColor,give,giveLines,giveColor,captain,captainLines,captainColor,mine,mineLines,mineColor,dead,deadLines,deadColor,dear,dearLines,dearColor,love,loveLines,loveColor,keep,keepLines,keepColor,find,findLines,findColor,best,bestLines,bestColor,speak,speakLines,speakColor,liege,liegeLines,liegeColor,fair,fairLines,fairColor,god,godLines,godColor,kate,kateLines,kateColor,france,franceLines,franceColor,better,betterLines,betterColor,take,takeLines,takeColor,answer,answerLines,answerColor,lord,lordLines,lordColor,dauphin,dauphinLines,dauphinColor,war,warLines,warColor,day,dayLines,dayColor,poor,poorLines,poorColor,vous,vousLines,vousColor,full,fullLines,fullColor,honour,honourLines,honourColor,men,menLines,menColor,french,frenchLines,frenchColor,hand,handLines,handColor,hear,hearLines,hearColor,blood,bloodLines,bloodColor,never,neverLines,neverColor,true,trueLines,trueColor,grace,graceLines,graceColor,man,manLines,manColor,king,kingLines,kingColor,great,greatLines,greatColor,princes,princesLines,princesColor,duke,dukeLines,dukeColor,english,englishLines,englishColor,brother,brotherLines,brotherColor,glove,gloveLines,gloveColor,tell,tellLines,tellColor,soldier,soldierLines,soldierColor,time,timeLines,timeColor,wear,wearLines,wearColor
 , , ,CANTERBURY,1,136.0, , , ,GOWER,1,336.0,PISTOL,6,152.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CANTERBURY,1,136.0, , , ,EXETER,5,328.0, , , ,DAUPHIN,1,88.0, , , ,Messenger,2,48.0, , , , , , ,PISTOL,1,152.0, , , , , , ,EXETER,2,328.0, , , ,WESTMORELAND,2,160.0,KATHARINE,1,320.0,FLUELLEN,1,72.0, , , ,DAUPHIN,1,88.0,FLUELLEN,1,72.0, , , ,BOURBON,1,80.0,FLUELLEN,10,72.0,PISTOL,1,152.0,FLUELLEN,8,72.0, , , , , , ,DAUPHIN,4,88.0, , , , , , , , , , , , ,EXETER,2,328.0, , , 
 , , ,KATHARINE,1,320.0, , , ,WILLIAMS,4,344.0,DAUPHIN,2,88.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MACMORRIS,1,144.0, , , ,MONTJOY,1,304.0, , , ,GOWER,1,336.0, , , ,CANTERBURY,3,136.0, , , , , , ,DAUPHIN,1,88.0, , , , , , , , , , , , ,PISTOL,2,152.0,FLUELLEN,1,72.0,Boy,1,168.0, , , ,WILLIAMS,1,344.0,MONTJOY,1,304.0, , , ,GOWER,1,336.0,PISTOL,1,152.0,EXETER,6,328.0,PISTOL,2,152.0, , , , , , ,GOWER,3,336.0, , , , , , , , , , , , , , , , , , 
 , , ,FLUELLEN,1,72.0, , , ,EXETER,4,328.0,WILLIAMS,1,344.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FLUELLEN,13,72.0, , , ,WESTMORELAND,2,160.0, , , ,WILLIAMS,3,344.0, , , ,FLUELLEN,1,72.0, , , , , , ,GOWER,1,336.0, , , , , , , , , , , , ,WILLIAMS,1,344.0,PISTOL,2,152.0,PISTOL,3,152.0, , , ,EXETER,3,328.0,DAUPHIN,2,88.0, , , ,WESTMORELAND,1,160.0,DAUPHIN,1,88.0,ORLEANS,2,16.0,GOWER,3,336.0, , , , , , ,RAMBURES,1,240.0, , , , , , , , , , , , , , , , , , 
 , , ,Boy,1,168.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PISTOL,1,152.0, , , ,KATHARINE,4,320.0, , , ,EXETER,2,328.0, , , ,RAMBURES,1,240.0, , , , , , ,WILLIAMS,2,344.0, , , , , , , , , , , , ,EXETER,2,328.0,DAUPHIN,1,88.0,BOURBON,1,80.0, , , , , , ,GOWER,1,336.0, , , , , , ,WILLIAMS,3,344.0,BATES,3,176.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , ,MONTJOY,1,304.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXETER,1,328.0, , , ,FLUELLEN,2,72.0, , , , , , , , , ,DAUPHIN,3,88.0, , , , , , ,EXETER,2,328.0, , , , , , , , , , , , , , , ,SALISBURY,1,312.0,WILLIAMS,1,344.0, , , , , , ,WILLIAMS,3,344.0, , , , , , ,EXETER,2,328.0,First Ambassador,1,184.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , ,DAUPHIN,2,88.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PISTOL,2,152.0, , , , , , , , , ,SALISBURY,3,312.0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXETER,2,328.0, , , , , , ,CANTERBURY,5,136.0, , , , , , , , , ,Hostess,1,192.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , ,WESTMORELAND,4,160.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,DAUPHIN,1,88.0, , , , , , , , , ,WILLIAMS,1,344.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ERPINGHAM,1,288.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ALICE,1,208.0, , , , , , , , , ,EXETER,6,328.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,KING HENRY V,34,296.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CANTERBURY,14,136.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MONTJOY,4,304.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,GOWER,4,336.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,WILLIAMS,3,344.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,GLOUCESTER,1,352.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
