duke,set,old,fair,heart,mine,son,traitor,earth,love,speak,death,majesty,richard,god,away,bolingbroke,royal,grace,live,take,woe,lord,hereford,noble,life,never,honour,sorrow,men,hand,grief,land,uncle,blood,nothing,cousin,true,day,man,king,great,heaven,give,world,soul,gaunt,face,time,tongue
KING RICHARD II 5 40.0,BAGOT 1 300.0,QUEEN 3 280.0,HENRY BOLINGBROKE 7 230.0,BAGOT 2 300.0,DUKE OF YORK 5 330.0,DUCHESS OF YORK 6 30.0,,Captain 1 310.0,HENRY BOLINGBROKE 12 230.0,LORD WILLOUGHBY 1 220.0,Captain 1 310.0,BUSHY 3 340.0,Captain 1 310.0,KING RICHARD II 18 40.0,,BAGOT 1 300.0,DUKE OF YORK 2 330.0,,HENRY BOLINGBROKE 9 230.0,HENRY BOLINGBROKE 9 230.0,,LORD ROSS 1 140.0,LORD WILLOUGHBY 1 220.0,HENRY BOLINGBROKE 9 230.0,DUKE OF YORK 5 330.0,,HENRY BOLINGBROKE 4 230.0,,JOHN OF GAUNT 8 200.0,DUKE OF YORK 9 330.0,,SIR STEPHEN SCROOP 1 210.0,,Gardener 1 70.0,,,BISHOP OF CARLISLE 1 50.0,SIR STEPHEN SCROOP 2 210.0,JOHN OF GAUNT 2 200.0,Servant 1 170.0,EXTON 2 350.0,HENRY BOLINGBROKE 5 230.0,DUKE OF YORK 3 330.0,,HENRY BOLINGBROKE 10 230.0,,,KING RICHARD II 19 40.0,BAGOT 1 300.0
LORD WILLOUGHBY 1 220.0,BISHOP OF CARLISLE 1 50.0,SIR STEPHEN SCROOP 1 210.0,DUKE OF AUMERLE 1 320.0,HENRY BOLINGBROKE 5 230.0,BAGOT 1 300.0,KING RICHARD II 18 40.0,,DUKE OF AUMERLE 1 320.0,DUKE OF YORK 4 330.0,HENRY BOLINGBROKE 5 230.0,SIR STEPHEN SCROOP 1 210.0,,HENRY BOLINGBROKE 7 230.0,LORD WILLOUGHBY 1 220.0,,HENRY BOLINGBROKE 2 230.0,EXTON 1 350.0,,DUKE OF AUMERLE 1 320.0,DUKE OF YORK 4 330.0,,LORD FITZWATER 1 160.0,HENRY BOLINGBROKE 2 230.0,DUKE OF AUMERLE 1 320.0,BUSHY 1 340.0,,DUKE OF AUMERLE 3 320.0,,Abbot 1 150.0,,,BISHOP OF CARLISLE 1 50.0,,EXTON 1 350.0,,,KING RICHARD II 4 40.0,BISHOP OF CARLISLE 2 50.0,QUEEN 1 280.0,Groom 2 180.0,,DUKE OF AUMERLE 1 320.0,Gardener 1 70.0,,DUKE OF YORK 1 330.0,,,BAGOT 2 300.0,HENRY BOLINGBROKE 5 230.0
HENRY BOLINGBROKE 3 230.0,First Herald 1 60.0,BISHOP OF CARLISLE 1 50.0,DUKE OF YORK 3 330.0,DUKE OF AUMERLE 3 320.0,,HENRY BOLINGBROKE 12 230.0,,DUKE OF YORK 1 330.0,,DUKE OF AUMERLE 1 320.0,HENRY BOLINGBROKE 6 230.0,,DUKE OF YORK 5 330.0,HENRY BOLINGBROKE 7 230.0,,DUKE OF AUMERLE 2 320.0,,,DUKE OF YORK 6 330.0,BUSHY 1 340.0,,Servant 2 170.0,First Herald 1 60.0,DUKE OF YORK 3 330.0,,,DUKE OF YORK 6 330.0,,SIR STEPHEN SCROOP 5 210.0,,,KING RICHARD II 19 40.0,,,,,HENRY BOLINGBROKE 6 230.0,KING RICHARD II 10 40.0,SIR STEPHEN SCROOP 1 210.0,EARL OF SALISBURY 1 190.0,,DUKE OF YORK 3 330.0,EXTON 1 350.0,,,,,HENRY BOLINGBROKE 5 230.0,DUKE OF AUMERLE 2 320.0
First Herald 1 60.0,DUKE OF YORK 2 330.0,KING RICHARD II 17 40.0,BUSHY 1 340.0,LORD ROSS 3 140.0,,DUKE OF AUMERLE 1 320.0,,,,LORD ROSS 2 140.0,DUKE OF AUMERLE 1 320.0,,Gardener 2 70.0,First Herald 2 60.0,,DUKE OF YORK 6 330.0,,,Gardener 2 70.0,EXTON 1 350.0,,EARL OF SALISBURY 2 190.0,DUKE OF YORK 7 330.0,,,,,,BISHOP OF CARLISLE 2 50.0,,,BAGOT 3 300.0,,,,,DUKE OF YORK 4 330.0,HENRY BOLINGBROKE 6 230.0,BISHOP OF CARLISLE 3 50.0,JOHN OF GAUNT 10 200.0,,,,,,,,DUKE OF AUMERLE 1 320.0,LORD ROSS 1 140.0
DUKE OF YORK 3 330.0,GARDENER 1 290.0,LORD WILLOUGHBY 2 220.0,,EXTON 1 350.0,,DUKE OF YORK 10 330.0,,,,Gardener 1 70.0,DUKE OF YORK 3 330.0,,EXTON 1 350.0,DUKE OF YORK 7 330.0,,BUSHY 2 340.0,,,,,,JOHN OF GAUNT 1 200.0,,,,,,,KING RICHARD II 38 40.0,,,HENRY BOLINGBROKE 14 230.0,,,,,BUSHY 1 340.0,DUKE OF AUMERLE 1 320.0,KING RICHARD II 33 40.0,LORD WILLOUGHBY 1 220.0,,,,,,,,DUKE OF YORK 6 330.0,
Gardener 1 70.0,,HENRY BOLINGBROKE 11 230.0,,,,,,,,EXTON 1 350.0,BUSHY 1 340.0,,,,,,,,,,,SIR STEPHEN SCROOP 1 210.0,,,,,,,BAGOT 1 300.0,,,DUKE OF AUMERLE 2 320.0,,,,,,DUKE OF YORK 2 330.0,LORD WILLOUGHBY 2 220.0,HENRY BOLINGBROKE 19 230.0,,,,,,,,Gardener 1 70.0,
LORD BERKELEY 1 0,,DUKE OF YORK 8 330.0,,,,,,,,,,,,,,,,,,,,HENRY BOLINGBROKE 20 230.0,,,,,,,HENRY BOLINGBROKE 19 230.0,,,DUKE OF YORK 8 330.0,,,,,,,HENRY BOLINGBROKE 8 230.0,Lord Marshal 3 250.0,,,,,,,,,
,,BUSHY 1 340.0,,,,,,,,,,,,,,,,,,,,Lord Marshal 2 250.0,,,,,,,DUKE OF AUMERLE 3 320.0,,,BUSHY 3 340.0,,,,,,,DUKE OF AUMERLE 3 320.0,THOMAS MOWBRAY 4 260.0,,,,,,,,,
,,EXTON 1 350.0,,,,,,,,,,,,,,,,,,,,THOMAS MOWBRAY 2 260.0,,,,,,,DUKE OF YORK 13 330.0,,,,,,,,,,DUKE OF YORK 15 330.0,QUEEN 12 280.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,DUKE OF SURREY 1 270.0,,,,,,,Gardener 2 70.0,,,,,,,,,,BUSHY 1 340.0,BAGOT 1 300.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,QUEEN 2 280.0,,,,,,,,,,,,,,,,,EXTON 1 350.0,Captain 4 310.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Abbot 1 150.0,,,,,,,,,,,,,,,,,,DUKE OF AUMERLE 2 320.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,BAGOT 2 300.0,,,,,,,,,,,,,,,,,,DUKE OF YORK 17 330.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Captain 1 310.0,,,,,,,,,,,,,,,,,,BUSHY 3 340.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,DUKE OF AUMERLE 6 320.0,,,,,,,,,,,,,,,,,,EXTON 6 350.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,DUKE OF YORK 3 330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,BUSHY 4 340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,EXTON 1 350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
